Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.11.22_10.07.46,-8.500517,51.894671,0,A,2,LTE,-112,-13,7,7,-94,2337,113,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.47,-8.500517,51.894671,0,A,2,LTE,-113,-14,6,7,-94,3500,160,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.48,-8.500517,51.894671,0,A,2,LTE,-113,-14,6,7,-94,3131,103,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.49,-8.500517,51.894671,0,A,2,LTE,-112,-12,6,7,-94,2784,99,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.51,-8.500517,51.894671,0,A,2,LTE,-112,-12,6,7,-94,2941,55,D,-121,-19,-8.491719,51.893905,609.7
2017.11.22_10.07.52,-8.500517,51.894671,0,A,2,LTE,-115,-13,4,6,-94,693,30,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.53,-8.500517,51.894671,0,A,2,LTE,-115,-13,4,6,-94,1979,97,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.54,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,1565,71,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.55,-8.500517,51.894671,0,A,2,LTE,-118,-13,4,6,-94,1722,56,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.56,-8.500517,51.894671,0,A,2,LTE,-118,-13,3,6,-94,1510,29,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.57,-8.500517,51.894671,0,A,2,LTE,-118,-13,3,6,-94,1252,33,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.58,-8.500517,51.894671,0,A,2,LTE,-119,-13,4,6,-94,749,29,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.07.59,-8.500517,51.894671,0,A,2,LTE,-119,-13,4,6,-94,1342,25,D,-,-,-8.491719,51.893905,609.7
2017.11.22_10.08.00,-8.500517,51.894671,0,A,2,LTE,-119,-13,5,6,-94,2114,43,D,-,-,-8.491719,51.893905,609.7
